Mean AQI,Stdv AQI,Sum AQI,Mean max on interval,Mean min on interval
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
4.826557922304424,5.751201786317778,25575.930430291144,16.007781597155624,0.0
9.598656716933542,10.42372947627863,50863.28194303084,32.88507462194174,0.0
14.2501122435387,14.315470485280155,75511.34477851157,49.27538397610436,0.0
18.7670046362815,17.75867924596279,99446.35756765566,64.94881600652013,0.0
23.143422564521963,21.088516017444555,122636.99616940187,80.1178530217348,0.0
27.695370843315832,24.85121760360106,146757.7700987306,94.60663290316727,0.0
31.942296571844274,28.121844504339784,169262.2295342028,110.0021690439807,0.0
36.21164957247447,31.549319057650937,191885.53108454222,125.69656857988802,0.0
40.42203961739926,34.96689868166274,214196.38793259865,141.6946484532962,0.0
44.78843472151536,38.52272858267424,237333.91558930988,156.93514904031068,0.0
48.93166509039877,41.829391068756905,259288.8933140231,171.8498400117998,0.0
53.23813383818044,45.37785846816431,282108.87120851816,187.1156707369389,0.0
57.561860541507464,49.02133089804037,305020.29900944803,202.1414173324841,0.0
61.803676410986206,52.448143697286916,327497.6813018159,217.01271851284105,0.0
