Mean AQI,Stdv AQI,Sum AQI,Mean max on interval,Mean min on interval
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.11623013576302602,0.7005740680136602,166.44155441265326,0.5039582883191424,0.0
0.24883995730500424,0.8508537949095463,356.3388188607661,0.8481127063883717,0.0
0.3509664747529008,0.8812193607108609,502.583991846154,1.2086203326380793,0.0
0.4274331935550652,0.8594738150755844,612.0843331708534,1.5457424635392603,0.0
0.5403486951389717,0.9747893513590202,773.7793314390074,1.9794924154437847,0.0
0.63457371999817,1.0723385425209764,908.7095670373795,2.4395845106275083,0.0
0.7637351993827896,1.2077480996081473,1093.6688055161546,2.9358178942303006,0.0
0.884367773675718,1.3088137030600522,1266.414651903628,3.485722830219802,0.0
1.026276017091202,1.437227498958068,1469.6272564746014,4.05157382157247,0.0
1.1834924436830105,1.5694211002248144,1694.7611793540711,4.708166659455302,0.0
1.3279766175476992,1.6794016178863527,1901.6625163283052,5.414615206548966,0.0
1.469521890768429,1.7784460087989429,2104.3553475803906,6.155952368047214,0.0
1.5943451305884533,1.87674850407829,2283.102227002665,6.994331772554927,0.0
1.727717729420606,1.965217870487967,2474.091788530308,7.882808016882925,0.0
1.8503056534623439,2.0316399201930846,2649.6376957580765,8.800726547601876,0.0
1.96931723591024,2.1045983266813217,2820.0622818234638,9.742139117181685,0.0
2.0842192049726425,2.2117391544604117,2984.601901520824,10.70252124180465,0.00000000000000028
2.178923787225221,2.2579378480622463,3120.2188633065166,11.68710979165854,0.0000000000007091
2.286045049002542,2.323731205456423,3273.6165101716406,12.693655136142102,0.00000000001405597
2.3860680378657433,2.371640441507553,3416.8494302237445,13.706482184368259,0.00000000010745936
2.4743168985949344,2.4132312880583004,3543.221798787946,14.728273965635383,0.00000000051931827
2.5662974442641935,2.4718853353657644,3674.937940186325,15.280433413531117,0.00000000188816246
2.659590578063899,2.556052318945797,3808.5337077875038,16.031444126089976,0.00000000563167857
2.7501621021290292,2.608925536119647,3938.23213024877,16.80559088213898,0.00000001450030074
2.838696658291231,2.650062376645115,4065.013614673043,17.607699894894296,0.0000000333123611
2.926309886503378,2.695474904772876,4190.475757472837,18.321291279568023,0.00000006985628742
3.012873488762518,2.7381028119204456,4314.434835907926,19.018088042753472,0.00000013592505661
3.0983896297957276,2.7805533914816962,4436.893949867482,19.68878183034015,0.00000024843342275
3.178348064089731,2.819114642604788,4551.394427776495,20.318349733679927,0.00000043056131514
3.2598508277734086,2.864278449234328,4668.106385371521,20.94266172205337,0.00000071286695742
3.3396302309688948,2.902316777203162,4782.350490747457,21.48606156770881,0.00000113431905128
3.419618424396176,2.941582820329952,4896.893583735324,21.988979702796932,0.00000174320670881
3.4956340508880093,2.9793303185804283,5005.747960871629,22.466513199840367,0.00000259789677516
3.5692969910392978,3.0143453301570773,5111.233291168274,22.85629244587647,0.00000376741926404
3.6430246947400287,3.047542013631102,5216.811362867721,23.204958570231046,0.00000533187183161
3.7147705647556215,3.07964719674423,5319.55144873005,23.53286708637466,0.00000738264297256
3.7870814899786747,3.1109352649465722,5423.100693649462,23.84569479494806,0.00001002246069504
3.858632427890323,3.1427662594082504,5525.561636738942,24.14772227014802,0.00001334430542376
3.9280623054491275,3.174253615971129,5624.985221403151,24.435145025305538,0.00001741493940906
3.997060228507254,3.204713183065319,5723.790247222388,24.70886141421671,0.00002235078750755
4.0668018538703565,3.2344050844046266,5823.660254742351,24.98401209086414,0.00002827776340324
4.133964112140569,3.265254413236143,5919.836608585294,25.257681925083755,0.00003533100849053
4.199543748294935,3.2924018816554144,6013.746647558347,25.504376229716872,0.00004365445932952
